target,ftype,cycle,bit,boot_ok,tamper,halted,run_cycles,outcome
zero,zeroflip,7,0,0,1,1,5,silent
zero,zeroflip,8,0,0,1,1,5,silent
zero,zeroflip,9,0,0,1,1,5,silent
zero,zeroflip,10,0,0,1,1,5,silent
zero,zeroflip,11,0,0,1,1,5,silent
ctrl_boot,ctrlflip,0,0,1,1,1,5,exploited
ctrl_boot,ctrlflip,1,0,1,1,1,5,exploited
ctrl_boot,ctrlflip,2,0,1,1,1,5,exploited
ctrl_boot,ctrlflip,3,0,1,1,1,5,exploited
ctrl_boot,ctrlflip,4,0,1,1,1,5,exploited
ctrl_boot,ctrlflip,5,0,0,1,1,5,silent
ctrl_boot,ctrlflip,6,0,0,1,1,5,silent
ctrl_boot,ctrlflip,7,0,0,1,1,5,silent
ctrl_boot,ctrlflip,8,0,0,1,1,5,silent
ctrl_boot,ctrlflip,9,0,0,1,1,5,silent
ctrl_boot,ctrlflip,10,0,0,1,1,5,silent
ctrl_boot,ctrlflip,11,0,0,1,1,5,silent
